Customer ID,Dummy_Customer_id,Gender_Converted,Age,Age_Bucket_Converted,Married_converted,Number of Dependents,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Tenure_bucket_converted,Offer_Converted,Phone_Service Converted,Avg Monthly Long Distance Charges,Multiple_lines_woe,Internet Service Converted,Internet_type_converted,Avg Monthly GB Download,Online_Security_Woe,Online_Backup_woe,Device_Protection_Plan,Premium Tech Support,Streaming_Tv_woe,Streaming_movie_woe,Streaming_music_woe,Unlimited_Data_Converted,Contract_Converted,PaperLess_Biling_woe,Payment_method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Target
0019-EFAEP,14,-0.02,32,0.19,-0.31,0,91942,32.782501,-117.01611,0,72,1.63,1.61,-0.01,2.25,0.08,-0.26,-0.64,16,0.75,0.27,0.22,-0.7,-0.17,-0.34,-0.35,-0.2,2.6,-0.34,-0.35,101.3,7261.25,0,0,162,7423.25,0
0019-GFNTW,15,-0.02,39,0.19,-0.31,0,93441,34.70434,-120.02609,0,56,0.67,-0.03,0.08,,0.08,-0.26,0.46,19,0.75,0.27,0.22,0.7,-0.33,-0.34,-0.35,-0.2,2.6,0.62,-0.35,45.05,2560.1,0,0,0,2560.1,0
0020-INWCK,16,-0.02,58,0.13,0.39,2,93286,36.464635,-119.094348,9,71,1.63,1.61,-0.01,27.26,0.08,-0.26,-0.64,12,-0.69,0.27,0.22,-0.7,-0.33,-0.17,-0.14,-0.2,2.6,-0.34,0.76,95.75,6849.4,0,0,1935.46,8784.86,0
0020-JDNXP,17,-0.02,52,0.13,0.39,1,94956,38.060264,-122.830646,0,34,0.23,-0.03,0.08,,0.08,-0.26,0.46,20,0.75,-0.61,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,0.76,61.25,1993.2,0,0,0,1993.2,0
0021-IKXGC,18,-0.02,72,-0.4,-0.31,0,92078,33.119028,-117.166036,0,1,-0.78,-1.14,-0.01,7.77,0.08,-0.26,-0.64,22,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,1.1,-0.34,-0.35,72.1,72.1,0,0,7.77,79.87,0
0022-TCJCI,19,0.02,79,-0.4,-0.31,0,94015,37.680844,-122.48131,0,45,0.67,-0.03,-0.01,10.67,0.08,-0.26,0.46,17,0.75,-0.61,0.22,-0.7,-0.33,-0.17,-0.35,-0.2,1.1,0.62,0.76,62.7,2791.5,0,0,480.15,3271.65,1
0023-HGHWL,20,0.02,67,-0.4,-0.31,0,95037,37.161544,-121.649371,0,1,-0.78,-0.03,0.08,,0.08,-0.26,0.05,9,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,25.1,25.1,0,0,0,25.1,1
0023-UYUPN,21,-0.02,79,-0.4,0.39,0,93601,37.375816,-119.739935,0,50,0.67,-0.03,-0.01,31.43,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,1.1,0.62,-0.35,25.2,1306.3,0,0,1571.5,2877.8,0
0023-XUOPT,22,-0.02,26,0.19,0.39,0,96140,39.227434,-120.091806,1,13,-0.78,-0.03,-0.01,43.56,0.08,-0.26,-0.64,52,-0.69,0.27,0.22,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,0.62,-0.35,94.1,1215.6,0,0,566.28,1781.88,1
0027-KWYKW,23,-0.02,30,0.19,0.39,2,93201,35.869626,-119.498771,1,23,0.23,-0.01,-0.01,34.91,0.08,-0.26,-0.64,30,-0.69,-0.61,-0.58,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,83.75,1849.95,0,0,802.93,2652.88,0
0030-FNXPP,24,-0.02,22,0.19,-0.31,0,93530,36.560498,-117.962461,0,3,-0.78,-0.03,-0.01,3.12,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,-0.9,0.62,0.76,19.85,57.2,0,0,9.36,66.56,0
0031-PVLZI,25,-0.02,34,0.19,0.39,0,95550,40.7666,-123.80458,0,4,-0.78,-1.14,-0.01,12.43,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,-0.9,0.62,0.76,20.35,76.35,0,0,49.72,126.07,1
0032-PGELS,26,-0.02,37,0.19,0.39,1,92060,33.309852,-116.823091,1,1,-0.78,-0.03,0.08,,0.08,-0.26,0.46,19,0.75,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,0.62,-0.35,30.5,30.5,0,0,0,30.5,1
0036-IHMOT,27,-0.02,37,0.19,0.39,3,93648,36.622237,-119.521126,10,55,0.67,-0.03,-0.01,35.04,0.08,-0.26,-0.64,57,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.3,1.1,-0.34,-0.35,103.7,5656.75,0,20,1927.2,7603.95,0
0040-HALCW,28,0.02,42,0.13,0.39,3,95358,37.612612,-121.108568,3,54,0.67,-0.03,-0.01,19.7,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,2.6,0.62,0.76,20.4,1090.6,0,0,1063.8,2154.4,0
0042-JVWOJ,29,0.02,64,-0.4,-0.31,0,95442,38.368744,-122.522642,0,26,0.23,0.2,-0.01,37.7,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,1.1,-0.34,-0.35,19.6,471.85,21.25,0,980.2,1430.8,0
0042-RLHYP,30,-0.02,47,0.13,0.39,3,95503,40.737431,-124.108897,5,69,1.63,-0.03,-0.01,38.39,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,2.6,0.62,-0.35,19.7,1396.9,0,0,2648.91,4045.81,0
0048-LUMLS,31,0.02,23,0.19,0.39,3,94038,37.515556,-122.502311,1,37,0.23,0.2,-0.01,43.01,0.08,-0.26,-0.64,51,-0.69,-0.61,-0.58,-0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,0.76,91.2,3247.55,0,0,1591.37,4838.92,0
0048-PIHNL,32,-0.02,48,0.13,0.39,0,90058,34.001617,-118.222274,5,49,0.67,0.95,-0.01,49.58,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,1.1,0.62,-0.35,20.45,900.9,0,0,2429.42,3330.32,0
0052-DCKON,33,0.02,28,0.19,0.39,0,90063,34.044271,-118.185237,9,66,1.63,-0.03,-0.01,43.77,0.08,-0.26,-0.64,41,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,-0.35,-2,7942.15,0,0,2888.82,10830.97,0
0052-YNYOT,34,-0.02,28,0.19,-0.31,0,92231,32.690654,-115.431225,0,67,1.63,-0.03,-0.01,23.12,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,1.1,0.62,-0.35,20.55,1343.4,30.53,0,1549.04,2861.91,0
0056-EPFBG,35,0.02,33,0.19,0.39,1,96003,40.677649,-122.29467,4,20,-0.78,-0.03,0.08,,0.08,-0.26,0.05,22,0.75,-0.61,0.22,0.7,-0.33,-0.34,-0.35,-0.2,2.6,-0.34,0.76,39.4,825.4,0,0,0,825.4,0
0057-QBUQH,36,-0.02,31,0.19,-0.31,3,95046,37.084697,-121.606417,0,43,0.67,-0.03,-0.01,30.64,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,2.6,-0.34,-0.35,25.1,1070.15,0,0,1317.52,2387.67,0
0058-EVZWM,37,-0.02,37,0.19,0.39,0,95209,38.044523,-121.348048,2,55,0.67,0.95,-0.01,5.08,0.08,-0.26,-0.64,9,0.75,-0.61,-0.58,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,89.8,4959.6,0,0,279.4,5239,0
0060-FUALY,38,-0.02,60,-0.4,0.39,0,90003,33.964131,-118.272783,4,59,0.67,0.95,-0.01,16.39,0.08,-0.26,-0.64,14,0.75,0.27,-0.58,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,94.75,5597.65,0,0,967.01,6564.66,0
0064-SUDOG,39,-0.02,48,0.13,0.39,3,90255,33.97803,-118.217141,3,12,-0.78,-0.03,-0.01,19.28,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,2.6,0.62,-0.35,20.3,224.5,0,0,231.36,455.86,0
0064-YIJGF,40,0.02,60,-0.4,0.39,3,92398,35.013299,-116.834092,7,27,0.23,0.2,-0.01,25.26,0.08,-0.26,-0.64,23,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,75.75,1929,0,0,682.02,2611.02,0
0067-DKWBL,41,0.02,69,-0.4,-0.31,0,92129,32.961064,-117.134917,0,2,-0.78,-0.03,-0.01,43.99,0.08,-0.26,0.46,27,0.75,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,49.25,91.1,0,0,87.98,179.08,1
0068-FIGTF,42,-0.02,20,0.19,-0.31,0,94539,37.516791,-121.899117,0,27,0.23,0.2,-0.01,48.91,0.08,-0.26,0.46,59,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,0.76,78.2,2078.95,0,0,1320.57,3399.52,0
0071-NDAFP,43,0.02,31,0.19,0.39,3,95405,38.439696,-122.668817,1,25,0.23,-0.03,-0.01,23.69,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,2.6,0.62,0.76,25.5,630.6,44.42,0,592.25,1178.43,0
0074-HDKDG,44,0.02,46,0.13,0.39,0,95126,37.327069,-121.916819,5,25,0.23,-0.03,-0.01,6.45,0.08,-0.26,0.05,19,0.75,0.27,0.22,-0.7,-0.33,-0.34,-0.35,-0.2,1.1,-0.34,-0.35,61.6,1611,44.9,0,161.25,1727.35,0
0076-LVEPS,45,0.02,57,0.13,-0.31,1,91042,34.296574,-118.244839,0,29,0.23,-0.03,0.08,,0.08,-0.26,0.46,21,0.75,0.27,0.22,0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,0.76,45,1242.45,12.26,0,0,1230.19,0
0078-XZMHT,46,0.02,19,0.19,0.39,0,93291,36.391777,-119.372842,5,72,1.63,-0.03,-0.01,32.36,0.08,-0.26,0.46,52,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,-0.34,-0.35,85.15,6316.2,0,0,2329.92,8646.12,0
0080-EMYVY,47,-0.02,64,-0.4,-0.31,0,95240,38.123544,-121.159078,0,14,-0.78,-0.03,-0.01,24.04,0.08,-0.26,0.05,12,-0.69,0.27,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,1.1,0.62,0.76,51.45,727.85,0,0,336.56,1064.41,0
0080-OROZO,48,-0.02,38,0.19,-0.31,0,95318,37.654551,-119.822984,0,35,0.23,0.2,-0.01,36.42,0.08,-0.26,-0.64,2,-0.69,-0.61,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,-0.34,-0.35,99.25,3532,0,0,1274.7,4806.7,0
0082-LDZUE,49,0.02,54,0.13,-0.31,0,94515,38.629618,-122.593216,0,1,-0.78,-1.14,-0.01,42.95,0.08,-0.26,0.46,9,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,0.76,44.3,44.3,0,0,42.95,87.25,0
0082-OQIQY,50,0.02,50,0.13,-0.31,0,95230,37.956963,-120.863055,0,29,0.23,-0.03,-0.01,2.05,0.08,-0.26,-0.64,17,-0.69,-0.61,-0.58,0.7,-0.17,-0.17,-0.14,-0.3,-0.9,-0.34,-0.35,94.2,2607.6,0,20,59.45,2687.05,0
0083-PIVIK,51,0.02,25,0.19,-0.31,0,96134,41.813521,-121.492666,0,64,1.63,-0.03,-0.01,5.49,0.08,-0.26,0.46,69,0.75,0.27,0.22,0.7,-0.17,-0.34,-0.35,-0.3,1.1,0.62,-0.35,81.25,5567.55,0,40,351.36,5958.91,0
0089-IIQKO,52,-0.02,35,0.19,0.39,3,96107,38.42528,-119.475741,1,39,0.23,-0.03,-0.01,24.38,0.08,-0.26,-0.64,53,-0.69,-0.61,-0.58,0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,0.76,99.95,3767.4,0,0,950.82,4718.22,0
0093-EXYQL,53,-0.02,72,-0.4,-0.31,0,93023,34.581308,-118.931948,0,40,0.23,-0.03,-0.01,44.14,0.08,-0.26,-0.64,23,-0.69,-0.61,-0.58,-0.7,-0.17,-0.17,-0.35,-0.2,2.6,-0.34,-0.35,91.55,3673.6,0,0,1765.6,5439.2,0
0093-XWZFY,54,0.02,51,0.13,-0.31,0,92241,33.832799,-116.250973,0,40,0.23,-0.03,-0.01,37.69,0.08,-0.26,-0.64,15,-0.69,0.27,0.22,-0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,0.76,104.5,4036.85,0,0,1507.6,5544.45,1
0094-OIFMO,55,-0.02,78,-0.4,-0.31,1,91605,34.207295,-118.400022,0,11,-0.78,-0.01,-0.01,11.59,0.08,-0.26,-0.64,29,-0.69,0.27,-0.58,-0.7,-0.17,-0.17,-0.35,-0.3,-0.9,-0.34,-0.35,95,1120.3,0,120,127.49,1367.79,1
0096-BXERS,56,-0.02,30,0.19,0.39,0,94937,38.099323,-122.945723,10,6,-0.78,-1.14,-0.01,42.66,0.08,-0.26,0.05,85,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,0.62,-0.35,50.35,314.55,0,0,255.96,570.51,0
0096-FCPUF,57,0.02,58,0.13,-0.31,0,95404,38.526941,-122.709096,0,30,0.23,-0.03,-0.01,2.64,0.08,-0.26,0.46,15,0.75,-0.61,-0.58,-0.7,-0.33,-0.17,-0.14,-0.2,-0.9,-0.34,-0.35,64.5,1888.45,0,0,79.2,1967.65,0
0098-BOWSO,58,0.02,26,0.19,-0.31,0,95131,37.387027,-121.897775,0,27,0.23,-0.03,-0.01,20.66,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,-0.9,-0.34,-0.35,19.4,529.8,0,0,557.82,1087.62,0
0100-DUVFC,59,0.02,66,-0.4,0.39,0,90744,33.782068,-118.262263,3,70,1.63,-0.03,-0.01,39.49,0.08,-0.26,-0.64,28,-0.69,0.27,0.22,-0.7,-0.17,-0.17,-0.35,-0.2,1.1,-0.34,-0.35,104.8,7308.95,6.11,0,2764.3,10067.14,0
0103-CSITQ,60,-0.02,20,0.19,0.39,0,95357,37.670526,-120.877572,10,57,0.67,0.95,-0.01,8.01,0.08,-0.26,-0.64,73,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,-0.34,-0.35,109.4,6252.7,0,0,456.57,6709.27,0
0104-PPXDV,61,0.02,61,-0.4,0.39,0,92113,32.697098,-117.116587,10,58,0.67,-0.03,-0.01,18.37,0.08,-0.26,0.46,18,-0.69,-0.61,0.22,-0.7,-0.33,-0.34,-0.35,-0.2,1.1,0.62,0.76,50.3,2878.55,10.23,0,1065.46,3933.78,0
0106-GHRQR,62,0.02,24,0.19,-0.31,0,90275,33.753146,-118.367459,0,16,-0.78,-0.03,-0.01,25.71,0.08,-0.26,0.46,48,-0.69,0.27,0.22,-0.7,-0.33,-0.17,-0.14,-0.2,-0.9,-0.34,-0.35,71.4,1212.1,0,0,411.36,1623.46,0
0106-UGRDO,63,-0.02,55,0.13,0.39,0,95452,38.419525,-122.521585,3,69,1.63,1.61,-0.01,38.52,0.08,-0.26,-0.64,27,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,-0.34,-0.35,116,8182.85,0,0,2657.88,10840.73,0
0107-WESLM,64,0.02,32,0.19,-0.31,0,95255,38.41935,-120.469545,0,1,-0.78,-1.14,-0.01,31.77,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,-0.9,-0.34,-0.35,19.85,19.85,0,0,31.77,51.62,1
0107-YHINA,65,0.02,59,0.13,-0.31,0,90062,34.003553,-118.308933,0,1,-0.78,-0.03,-0.01,40.71,0.08,-0.26,-0.64,25,-0.69,-0.61,0.22,-0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,-0.35,99.75,99.75,0,0,40.71,140.46,1
0111-KLBQG,66,0.02,71,-0.4,0.39,1,92256,34.097863,-116.594561,9,32,0.23,0.2,-0.01,31.86,0.08,-0.26,-0.64,23,-0.69,0.27,-0.58,-0.7,-0.17,-0.17,-0.14,-0.2,1.1,-0.34,-0.48,93.95,2861.45,0,0,1019.52,3880.97,0
0112-QAWRZ,67,0.02,49,0.13,0.39,2,92266,33.3249,-114.758334,8,16,-0.78,-0.01,-0.01,48.71,0.08,-0.26,-0.64,12,-0.69,-0.61,0.22,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,90.8,1442.2,0,0,779.36,2221.56,0
0112-QWPNC,68,0.02,61,-0.4,0.39,0,93563,34.39583,-117.734568,1,49,0.67,0.95,-0.01,39.55,0.08,-0.26,0.05,10,0.75,-0.61,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,-0.35,84.35,4059.35,0,0,1937.95,5997.3,1
0114-IGABW,69,-0.02,40,0.13,0.39,0,93428,35.591387,-121.032256,2,71,1.63,1.61,0.08,,0.08,-0.26,0.05,29,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,0.62,-0.35,58.25,4145.9,0,0,0,4145.9,0
0114-PEGZZ,70,-0.02,39,0.19,-0.31,0,96084,40.923558,-122.059933,0,33,0.23,-0.03,-0.01,49.69,0.08,-0.26,-0.64,12,-0.69,0.27,0.22,-0.7,-0.17,-0.17,-0.14,-0.2,-0.9,0.62,-0.35,107.55,3645.5,0,0,1639.77,5285.27,0
0114-RSRRW,71,-0.02,21,0.19,0.39,0,95548,41.572813,-124.035011,9,10,-0.78,-0.01,-0.01,49.6,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,-0.9,-0.34,-0.35,19.95,187.75,0,0,496,683.75,0
0115-TFERT,72,0.02,24,0.19,0.39,0,93650,36.841655,-119.797113,1,21,0.23,-0.03,-0.01,36.26,0.08,-0.26,-0.64,59,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.3,-0.9,-0.34,-0.35,111.2,2317.1,0,120,761.46,3198.56,1
0117-LFRMW,73,0.02,52,0.13,0.39,1,94508,38.542448,-122.419923,1,37,0.23,-0.03,0.08,,0.08,-0.26,0.46,23,0.75,0.27,0.22,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,0.62,-0.35,40.2,1448.8,0,0,0,1448.8,1
0118-JPNOY,74,-0.02,71,-0.4,-0.31,0,95333,37.249377,-120.249581,0,26,0.23,-0.03,-0.01,33.74,0.08,-0.26,-0.64,7,0.75,-0.61,-0.58,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,0.76,85.8,2193.65,0,0,877.24,3070.89,0
0121-SNYRK,75,0.02,45,0.13,-0.31,0,95560,40.142256,-123.852927,0,50,0.67,0.95,0.08,,0.08,-0.26,0.46,7,0.75,-0.61,-0.58,0.7,-0.33,-0.34,-0.35,-0.2,1.1,-0.34,0.76,35.4,1748.9,0,0,0,1748.9,0
0122-OAHPZ,76,-0.02,29,0.19,-0.31,0,92122,32.85723,-117.209774,0,7,-0.78,-0.03,-0.01,28.62,0.08,-0.26,-0.64,26,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.14,-0.2,-0.9,-0.34,-0.35,73.85,511.25,13.03,0,200.34,698.56,1
0123-CRBRT,77,-0.02,62,-0.4,0.39,0,91755,34.049172,-118.115022,1,61,1.63,0.95,-0.01,47.19,0.08,-0.26,0.46,28,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,0.62,-0.48,88.1,5526.75,0,0,2878.59,8405.34,0
0125-LZQXK,78,0.02,42,0.13,-0.31,0,95305,37.818589,-120.256995,0,15,-0.78,-0.01,-0.01,45.92,0.08,-0.26,-0.64,12,-0.69,-0.61,0.22,0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,-0.35,101.35,1553.95,0,0,688.8,2242.75,1
0128-MKWSG,79,-0.02,51,0.13,-0.31,2,91381,34.364153,-118.615583,0,26,0.23,-0.03,0.08,,0.08,-0.26,0.46,19,0.75,-0.61,-0.58,0.7,-0.33,-0.17,-0.14,-0.2,-0.9,0.62,0.76,45.8,1147,0,0,0,1147,0
0129-KPTWJ,80,0.02,39,0.19,0.39,0,95660,38.671295,-121.388251,9,72,1.63,-0.03,-0.01,33.22,0.08,-0.26,-0.64,23,-0.69,-0.61,0.22,-0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,-0.35,94.65,6747.35,0,0,2391.84,9139.19,0
0129-QMPDR,81,0.02,64,-0.4,0.39,0,91746,34.038983,-117.991372,1,44,0.67,-0.03,-0.01,27.4,0.08,1.51,1.51,,1.51,1.51,1.51,1.5,1.51,1.51,1.51,1.5,1.1,-0.34,-0.35,20.5,865.05,0,0,1205.6,2070.65,0
0130-SXOUN,82,0.02,55,0.13,-0.31,0,95443,39.045246,-122.743181,0,66,1.63,1.61,-0.01,48.78,0.08,-0.26,-0.64,8,-0.69,0.27,-0.58,-0.7,-0.33,-0.17,-0.14,-0.3,-0.9,0.62,0.76,89.4,5976.9,36.02,40,3219.48,9200.36,0
0133-BMFZO,83,-0.02,40,0.13,-0.31,0,91803,34.074736,-118.145959,0,2,-0.78,-0.03,-0.01,36.81,0.08,-0.26,-0.64,16,0.75,0.27,-0.58,0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,86.25,181.65,0,0,73.62,255.27,1
0134-XWXCE,84,-0.02,76,-0.4,-0.31,0,90403,34.031529,-118.491156,0,44,0.67,-0.03,-0.01,7.72,0.08,-0.26,0.46,17,-0.69,-0.61,0.22,0.7,-0.17,-0.17,-0.14,-0.2,1.1,0.62,-0.35,74.85,3268.05,17.91,0,339.68,3589.82,0
0135-NMXAP,85,-0.02,57,0.13,-0.31,0,95240,38.123544,-121.159078,0,12,-0.78,-0.01,-0.01,14.38,0.08,-0.26,-0.64,6,-0.69,0.27,-0.58,-0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,89.75,1052.4,0,0,172.56,1224.96,1
0136-IFMYD,86,0.02,71,-0.4,0.39,0,90001,33.973616,-118.24902,1,69,1.63,-0.03,-0.01,18.41,0.08,-0.26,-0.64,17,-0.69,0.27,0.22,0.7,-0.17,-0.17,-0.35,-0.2,2.6,-0.34,-0.35,109.95,7634.25,0,0,1270.29,8904.54,0
